,client_id,district_id,birth_year,birth_day,birth_month,gender,age,disp_id,account_id,type_x,card_id,type_y,date_issue_card,days_issue_card,district_id_acc,freq_description,date_creation_acc,year_acc,month_acc,day_acc,days_creation_acc,loan_id,amount_loan,duration_loan,payments_loan,status_loan,status_description,date_loan,district_name,region,nbr_inhabitants,nbr_muni<499_inh,nbr_muni_500-1999_inh,nbr_muni_2000-9999_inh,nbr_muni>10000_inh,nbr_cities,ratio_urban_inh,average_salary,unemploymant_rate_95,unemploymant_rate_96,nbr_entp_1000_inh,nbr_crimes_95,nbr_crimes_96,trans_amt_total,trans_amt_min,trans_amt_max,trans_number,date_trans_old,days_oldtrans,date_trans_late,days_latetrans,date_balance,latest_balance,avg_balance,household_amount,insurance_amount,leasing_amount,loan_amount,nochar_amount,nbr_orders,order_total_amount
0,1,18,1970,13,12,F,29,1,1,OWNER,,,,,18,monthly,1995-03-24,1995,3,24,1379,,,,,,,,Pisek,south Bohemia,70699,60,13,2,1,4,65.3,8968,2.83,3.35,131,1740,1910,375174.4999999998,14.6,12600.0,239,1995-03-24,1379,1998-12-31,1,1998-12-31,30414.8,15994.008368200848,2452.0,,,,,1.0,2452.0
1,2,1,1945,4,2,M,54,2,2,OWNER,,,,,1,monthly,1993-02-26,1993,2,26,2135,4959.0,80952.0,24.0,3373.0,A,finished/ok,1994-01-05,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,3151479.3000000017,13.5,42000.0,478,1993-02-26,2135,1998-12-31,1,1998-12-31,69302.0,36540.70439330545,7266.0,,,3372.7,,2.0,10638.7
2,3,1,1940,9,10,F,59,3,2,DISPONENT,,,,,1,monthly,1993-02-26,1993,2,26,2135,4959.0,80952.0,24.0,3373.0,A,finished/ok,1994-01-05,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,3151479.3000000017,13.5,42000.0,478,1993-02-26,2135,1998-12-31,1,1998-12-31,69302.0,36540.70439330545,7266.0,,,3372.7,,2.0,10638.7
3,4,5,1956,1,12,M,43,4,3,OWNER,,,,,5,monthly,1997-07-07,1997,7,7,543,,,,,,,,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,295021.80000000005,14.6,11253.0,117,1997-07-07,543,1998-12-31,1,1998-12-31,53446.5,26973.50683760683,1135.0,3539.0,,,327.0,3.0,5001.0
4,5,5,1960,3,7,F,39,5,3,DISPONENT,,,,,5,monthly,1997-07-07,1997,7,7,543,,,,,,,,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,295021.80000000005,14.6,11253.0,117,1997-07-07,543,1998-12-31,1,1998-12-31,53446.5,26973.50683760683,1135.0,3539.0,,,327.0,3.0,5001.0
5,6,12,1919,22,9,M,80,6,4,OWNER,,,,,12,monthly,1996-02-21,1996,2,21,1045,,,,,,,,Pribram,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868,350971.3999999999,14.6,5553.0,186,1996-02-21,1045,1998-12-31,1,1998-12-31,34870.0,21753.44623655914,3363.0,,,,,2.0,3363.0
6,7,15,1929,25,1,M,70,7,5,OWNER,,,,,15,monthly,1997-05-30,1997,5,30,581,,,,,,,,Cesky Krumlov,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.13,3.6,124,1845,1879,166881.40000000008,3.5,5100.0,84,1997-05-30,581,1998-12-31,1,1998-12-31,32036.2,25090.069047619036,2668.0,,,,,1.0,2668.0
7,8,51,1938,21,2,F,61,8,6,OWNER,,,,,51,monthly,1994-09-27,1994,9,27,1557,,,,,,,,Trutnov,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839,647567.0999999994,14.6,11600.0,246,1994-09-27,1557,1998-12-31,1,1998-12-31,51878.9,34547.34918699189,3954.0,,,,,1.0,3954.0
8,9,60,1935,16,10,M,64,9,7,OWNER,1.0,gold,1998-10-16,77.0,60,monthly,1996-11-24,1996,11,24,768,,,,,,,,Prostejov,south Moravia,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,1192039.9,14.6,33975.0,130,1996-11-24,768,1998-12-31,1,1998-12-31,99675.3,62598.591538461515,4880.0,,,,,1.0,4880.0
9,10,57,1943,1,5,M,56,10,8,OWNER,,,,,57,monthly,1995-09-21,1995,9,21,1198,,,,,,,,Hodonin,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,1712906.1000000008,14.6,40800.0,254,1995-09-21,1198,1998-12-31,1,1998-12-31,79254.9,46819.412992125974,2612.0,,,,6712.0,2.0,9324.0
